number,issue_rel,rel_time,rel_author,rel_comment,type
4251,ipython/ipython#4251,2013-09-23 12:18:36,v923z,6,within
4251,ipython/ipython#4234,2013-09-23 17:11:35,jdfreder,8,within
4251,ipython/ipython#3503,2013-09-23 17:11:35,jdfreder,8,within
4251,ipython/ipython#3503,2013-09-23 19:18:07,jakobgager,9,within
4245,ipython/ipython#4466,2014-02-13 14:51:42,damianavila,8,within
4234,ipython/ipython#4234,2013-09-21 19:03:28,ahmadia,6,within
4234,ipython/ipython#3503,2013-09-21 19:13:42,jakobgager,7,within
4234,ipython/ipython#4234,2013-09-21 20:21:35,ahmadia,9,within
4223,ipython/ipython#4224,2013-09-17 18:04:12,minrk,3,within
4200,ipython/ipython#4201,2013-09-12 19:29:12,minrk,2,within
4122,ipython/ipython#4122,2013-08-28 09:58:46,mrmagooey,2,within
4122,ipython/ipython#4122,2013-08-28 11:27:20,Carreau,3,within
4122,ipython/ipython#4112,2013-09-06 22:55:29,jdfreder,8,within
4122,ipython/ipython#4181,2013-09-06 22:55:29,jdfreder,8,within
4122,ipython/ipython#4181,2013-09-13 16:34:01,jdfreder,10,within
4122,ipython/ipython#4202,2013-09-13 17:11:14,jdfreder,12,within
4122,ipython/ipython#3819,2013-09-13 17:11:14,jdfreder,12,within
4116,ipython/ipython#3883,2013-08-27 03:12:15,drevicko,0,within
4116,ipython/ipython#3883,2013-08-27 04:33:39,ivanov,1,within
4116,ipython/ipython#6424,2015-12-03 09:38:59,takluyver,11,within
4103,ipython/ipython#4106,2013-08-24 07:15:51,minrk,1,within
4100,ipython/ipython#3527,2013-08-23 17:46:53,minrk,1,within
4100,ipython/ipython#4101,2013-08-23 17:46:53,minrk,1,within
4078,ipython/ipython#4137,2013-08-29 19:31:33,takluyver,2,within
4059,ipython/ipython#4060,2013-08-19 05:54:08,minrk,7,within
4005,ipython/ipython#3538,2013-08-13 06:42:45,andreabedini,1,within
3968,ipython/ipython#3968,2013-08-09 13:34:21,takluyver,1,within
3903,ipython/ipython#3943,2013-08-07 22:25:22,jdfreder,14,within
3858,ipython/ipython#2310,2013-07-31 17:40:38,dfarmer,0,within
3858,ipython/ipython#2355,2013-07-31 17:40:38,dfarmer,0,within
3791,ipython/ipython#3922,2014-01-29 19:33:37,minrk,2,within
3786,ipython/ipython#3787,2013-07-26 00:27:55,minrk,5,within
3786,ipython/ipython#3787,2013-07-26 00:49:33,minrk,9,within
3785,ipython/ipython#3409,2013-07-26 00:50:20,minrk,1,within
3785,ipython/ipython#3789,2013-07-26 00:59:59,minrk,2,within
3785,ipython/ipython#3409,2013-07-26 16:58:08,minrk,5,within
3774,ipython/ipython#3898,2013-08-04 19:41:41,richardeverson,2,within
3774,ipython/ipython#3898,2013-08-05 22:47:00,ivanov,7,within
3774,ipython/ipython#3913,2013-08-05 22:47:00,ivanov,7,within
3668,ipython/ipython#3222,2013-07-17 07:51:48,mspacek,0,within
3668,ipython/ipython#3011,2013-07-17 07:51:48,mspacek,0,within
3668,ipython/ipython#3669,2013-07-17 17:25:48,minrk,2,within
3661,ipython/ipython#2727,2013-07-16 23:23:34,amelio-vazquez-reina,1,within
3657,ipython/ipython#3659,2013-07-16 18:12:50,dpsanders,0,within
3636,ipython/ipython#3636,2013-07-16 19:22:08,ellisonbg,5,within
3625,ipython/ipython#3626,2013-07-13 07:13:24,ivanov,3,within
3604,ipython/ipython#3604,2013-07-10 23:28:13,ellisonbg,3,within
3604,ipython/ipython#3604,2013-07-10 23:42:12,ahmadia,6,within
3604,ipython/ipython#3604,2013-07-11 00:30:08,ellisonbg,10,within
3589,ipython/nbconvert#123,2013-07-09 13:21:54,martijnvermaat,1,cross
3589,ipython/nbconvert#123,2013-10-01 09:31:39,akhmerov,13,cross
3589,ipython/ipython#4322,2013-10-01 22:44:18,damianavila,15,within
3549,ipython/ipython#3549,2013-07-05 17:57:17,ellisonbg,1,within
3549,ipython/ipython#3549,2013-07-05 18:32:10,ellisonbg,6,within
3544,ipython/ipython#3544,2013-07-05 18:07:43,takluyver,2,within
3502,ipython/ipython#3504,2013-07-01 17:57:00,minrk,2,within
3479,ipython/ipython#3498,2013-07-10 09:02:40,Carreau,2,within
3386,ipython/ipython#1715,2013-05-30 11:54:57,takluyver,1,within
3386,ipython/ipython#4460,2013-10-30 01:31:42,takluyver,5,within
3385,ipython/ipython#3340,2013-05-30 09:58:13,takluyver,0,within
3376,ipython/ipython#3377,2013-05-29 03:00:04,minrk,1,within
3375,marijnh/CodeMirror#332,2013-05-29 05:44:44,minrk,4,cross
3375,ipython/ipython#3378,2013-05-29 17:51:39,minrk,6,within
3361,marijnh/CodeMirror#1123,2013-05-29 10:01:59,Carreau,2,cross
3361,ipython/ipython#3515,2013-07-02 17:51:20,minrk,5,within
3361,marijnh/CodeMirror#1686,2013-07-22 18:48:52,Zsailer,18,cross
3361,marijnh/CodeMirror#1667,2013-07-22 18:48:52,Zsailer,18,cross
3361,marijnh/CodeMirror#1642,2013-07-22 18:48:52,Zsailer,18,cross
3361,ipython/ipython#1686,2013-07-22 18:48:52,Zsailer,18,within
3361,ipython/ipython#1642,2013-07-22 18:48:52,Zsailer,18,within
3361,ipython/ipython#1167,2013-07-22 18:48:52,Zsailer,18,within
3332,ipython/ipython#3332,2013-05-17 16:30:42,ellisonbg,1,within
3326,ipython/ipython#3328,2013-05-16 16:23:23,minrk,1,within
3326,ipython/ipython#3328,2013-05-22 16:22:56,minrk,3,within
3316,ipython/ipython#3301,2013-05-14 12:08:02,takluyver,0,within
3302,ipython/ipython#1911,2013-05-12 22:40:07,takluyver,1,within
3302,ipython/ipython#2976,2013-05-12 22:40:07,takluyver,1,within
3302,ipython/ipython#3302,2013-07-01 08:30:40,2sn,3,within
3302,ipython/ipython#3302,2013-07-02 02:02:56,2sn,5,within
3302,ipython/ipython#3302,2013-07-12 07:18:42,2sn,6,within
3246,ipython/ipython#3202,2013-04-30 19:33:24,minrk,1,within
3246,ipython/ipython#3178,2013-04-30 19:33:24,minrk,1,within
3246,ipython/ipython#3390,2013-05-31 23:34:58,takluyver,7,within
3245,ipython/ipython#1103,2013-04-30 17:27:44,asmeurer,0,within
3245,ipython/ipython#3662,2013-07-16 23:14:08,minrk,2,within
3241,ipython/ipython#3354,2013-05-29 01:02:24,minrk,7,within
3227,ipython/ipython#3231,2013-04-28 18:53:26,minrk,4,within
3227,ipython/ipython#3231,2013-07-03 23:23:19,minrk,5,within
3218,ipython/ipython#3220,2013-04-24 23:10:05,minrk,1,within
3206,ipython/ipython#3323,2013-05-15 21:53:51,takluyver,1,within
3197,ipython/ipython#3428,2013-06-19 14:26:28,minrk,2,within
3195,ipython/ipython#6139,2014-07-16 05:16:08,minrk,5,within
3178,ipython/ipython#2447,2013-04-15 13:20:31,takluyver,1,within
3178,ipython/ipython#3182,2013-04-15 20:33:23,minrk,2,within
3178,ipython/ipython#3203,2013-04-20 11:10:09,takluyver,7,within
3176,ipython/ipython#2349,2013-04-15 15:42:29,ccordoba12,3,within
3124,ipython/ipython#3560,2013-07-06 05:20:23,minrk,1,within
3111,ipython/ipython#3111,2013-03-31 03:34:01,peterswanson,8,within
3111,ipython/ipython#3312,2014-09-21 22:21:55,janschulz,12,within
3087,ipython/ipython#3087,2013-03-27 06:33:24,Carreau,1,within
3087,ipython/ipython#3087,2013-03-27 06:43:38,Carreau,2,within
3087,ipython/ipython#3102,2013-03-28 05:18:45,minrk,6,within
3053,ipython/ipython#3053,2013-07-05 17:54:57,ellisonbg,7,within
3053,ipython/ipython#3053,2013-07-05 18:08:44,ellisonbg,10,within
3039,ipython/ipython#3046,2013-03-21 00:08:10,minrk,7,within
3019,ipython/ipython#3019,2013-03-18 20:25:44,ellisonbg,3,within
3007,ipython/ipython#3013,2013-03-11 01:07:16,minrk,2,within
3001,ipython/ipython#3371,2013-06-19 14:39:44,minrk,2,within
2993,ipython/ipython#2994,2013-03-04 19:53:02,minrk,1,within
2988,ipython/ipython#2988,2013-02-28 10:37:44,takluyver,1,within
2943,ipython/ipython#2819,2013-02-16 22:51:51,minrk,1,within
2943,ipython/ipython#2946,2013-02-16 23:41:14,minrk,2,within
2943,ipython/ipython#2946,2013-02-17 01:54:16,minrk,6,within
2931,ipython/ipython#2930,2013-02-14 19:35:02,minrk,1,within
2922,ipython/ipython#4656,2013-12-22 06:34:04,minrk,3,within
2865,ipython/ipython#4387,2013-12-15 22:44:14,mrshu,3,within
2848,ipython/ipython#2848,2013-01-25 19:58:57,Carreau,2,within
2835,ipython/ipython#2447,2013-01-31 20:53:38,minrk,1,within
2835,ipython/ipython#2783,2013-01-31 22:00:36,takluyver,2,within
2834,ipython/ipython#2467,2013-01-22 19:08:14,minrk,0,within
2821,ipython/ipython#2829,2013-07-04 01:17:34,minrk,5,within
2807,ipython/ipython#2808,2013-01-18 22:17:19,minrk,2,within
2793,ipython/ipython#2800,2013-01-17 18:22:18,minrk,4,within
2793,ipython/ipython#2800,2013-01-17 19:52:35,minrk,6,within
2790,ipython/ipython#2809,2013-01-18 22:27:33,minrk,1,within
2790,ipython/ipython#3483,2013-06-29 16:06:56,takluyver,2,within
2784,ipython/ipython#800,2013-01-14 06:44:33,r-rathi,0,within
2784,ipython/ipython#2864,2013-01-29 13:31:39,takluyver,2,within
2765,ipython/ipython#2766,2013-01-10 06:30:06,bfroehle,1,within
2758,ipython/ipython#2463,2014-11-13 22:54:43,minrk,3,within
2742,blink1073/oct2py#4,2013-01-04 16:46:13,blink1073,0,cross
2742,ipython/ipython#2743,2013-01-05 10:26:46,Carreau,2,within
2727,ipython/ipython#3066,2013-03-23 20:14:19,tkf,2,within
2720,ipython/ipython#2723,2013-01-01 11:50:51,Carreau,2,within
2671,ipython/ipython#2671,2012-12-11 14:25:19,takluyver,2,within
2667,ipython/ipython#2667,2012-12-07 17:53:08,ellisonbg,1,within
2667,ipython/ipython#2667,2012-12-10 21:43:39,ellisonbg,4,within
2660,ipython/ipython#2663,2012-12-07 00:47:30,timodonnell,2,within
2660,ipython/ipython#2663,2012-12-07 21:19:08,bfroehle,3,within
2612,ipython/ipython#2447,2012-12-06 11:15:53,takluyver,2,within
2612,ipython/ipython#2447,2012-12-06 12:18:16,takluyver,4,within
2612,ipython/ipython#2447,2012-12-06 13:21:31,takluyver,6,within
2612,ipython/ipython#2447,2012-12-06 14:51:56,takluyver,11,within
2612,ipython/ipython#2447,2012-12-06 15:47:07,takluyver,13,within
2612,ipython/ipython#2612,2012-12-06 15:47:07,takluyver,13,within
2612,ipython/ipython#2447,2012-12-06 15:55:41,jasongrout,14,within
2610,ipython/ipython#289,2013-01-19 22:06:02,minrk,1,within
2610,ipython/ipython#1271,2013-01-19 22:06:02,minrk,1,within
2580,ipython/ipython#2580,2012-11-15 10:02:17,Carreau,1,within
2580,ipython/ipython#2578,2012-11-18 19:27:49,bfroehle,3,within
2560,ipython/ipython#2560,2012-11-08 22:50:13,takluyver,1,within
