u_issue,u_reporter,u_author,u_state,u_nfiles,u_total,u_nadd,u_ndel,d_issue,d_reporter,d_author,d_state,d_nfiles,d_total,d_nadd,d_ndel,ref_author
numpy/numpy#5085,mdboom,charris,closed,2,56,54,2,astropy/astropy#2960,astrofrog,,closed,,,,,mdboom
numpy/numpy#5086,mdboom,charris,closed,2,56,54,2,astropy/astropy#2960,astrofrog,,closed,,,,,mhvk
numpy/numpy#5251,embray,charris,closed,2,19,12,7,astropy/astropy#3052,embray,embray,closed,4,33,31,2,embray
numpy/numpy#5316,juliantaylor,charris,closed,4,28,27,1,scipy/scipy#4168,cournape,argriffing,closed,4,106,94,12,juliantaylor
numpy/numpy#5365,cournape,,closed,,,,,scipy/scipy#4241,pv,argriffing,closed,4,106,94,12,cournape
numpy/numpy#5533,dschallis,,open,,,,,scikit-learn/scikit-learn#4701,Renzhh,,closed,,,,,amueller
numpy/numpy#5562,shoyer,,open,,,,,pydata/pandas#9276,shoyer,jreback,closed,2,19,8,11,shoyer
numpy/numpy#5590,chebee7i,charris,closed,4,87,46,41,astropy/astropy#3584,mhvk,astrofrog,closed,12,1025,531,494,mhvk
numpy/numpy#5655,DavidPowell,jaimefrio,closed,2,17,15,2,markovmodel/msmtools#18,marscher,marscher,closed,108,627,409,218,marscher
numpy/numpy#5672,mhauru,charris,closed,3,23,23,0,sympy/sympy#9593,mikeroberts3000,,open,,,,,moorepants
numpy/numpy#5696,amueller,charris,closed,2,38,31,7,scikit-learn/scikit-learn#4399,trevorstephens,ogrisel,closed,1,2,1,1,amueller
numpy/numpy#5755,OceanWolf,,open,,,,,matplotlib/matplotlib#4318,jezemine,efiring,closed,2,22,19,3,OceanWolf
numpy/numpy#5762,astrofrog,ahaldane,closed,7,370,332,38,scipy/scipy#4589,juliantaylor,,closed,,,,,astrofrog
numpy/numpy#5766,xiaoweiz,charris,closed,3,29,21,8,scipy/scipy#4720,xiaoweiz,,closed,,,,,xiaoweiz
numpy/numpy#5800,behzadnouri,charris,closed,3,29,21,8,scipy/scipy#4720,xiaoweiz,,closed,,,,,ev-br
numpy/numpy#5858,jaimefrio,charris,closed,2,23,22,1,scipy/scipy#3354,josef-pkt,,closed,,,,,ev-br
numpy/numpy#5895,pv,,open,,,,,scipy/scipy#4895,argriffing,argriffing,closed,4,2090,805,1285,pv
numpy/numpy#5921,embray,charris,closed,2,34,28,6,astropy/astropy#3419,astrofrog,embray,closed,4,40,30,10,embray
numpy/numpy#5921,embray,charris,closed,2,34,28,6,astropy/astropy#3803,embray,,closed,,,,,embray
numpy/numpy#5947,ahaldane,charris,closed,3,182,107,75,astropy/astropy#3854,mhvk,,closed,,,,,mhvk
numpy/numpy#5962,mhvk,charris,closed,3,23,23,0,astropy/astropy#3848,mhvk,,closed,,,,,mhvk
numpy/numpy#5982,embray,charris,closed,2,23,21,2,astropy/astropy#3854,mhvk,embray,closed,12,745,592,153,mhvk
numpy/numpy#6019,taldcroft,ahaldane,closed,2,68,43,25,astropy/astropy#3877,astrofrog,,closed,,,,,taldcroft
numpy/numpy#6094,astrofrog,ahaldane,closed,2,68,43,25,astropy/astropy#3877,astrofrog,,closed,,,,,astrofrog
numpy/numpy#6120,rgommers,jaimefrio,closed,2,9,8,1,Homebrew/homebrew-python#252,jiegec,jiegec,closed,1,8,4,4,tdsmith
numpy/numpy#6120,rgommers,jaimefrio,closed,2,9,8,1,scipy/scipy#5148,WarrenWeckesser,rgommers,closed,1,33,0,33,jaimefrio
numpy/numpy#6120,rgommers,jaimefrio,closed,2,9,8,1,scipy/scipy#5173,rgommers,rgommers,closed,1,33,0,33,rgommers
numpy/numpy#6127,mhvk,charris,closed,4,116,90,26,matplotlib/matplotlib#5768,anntzer,,closed,,,,,anntzer
numpy/numpy#6208,ahaldane,charris,closed,10,606,398,208,astropy/astropy#4259,michaelaye,,closed,,,,,embray
numpy/numpy#6238,kawochen,,open,,,,,pydata/pandas#10887,kawochen,jreback,closed,3,19,17,2,kawochen
numpy/numpy#6330,cjermain,charris,closed,2,73,64,9,wking/pycomedi#3,cjermain,,open,,,,,cjermain
numpy/numpy#6347,charris,charris,closed,4,21,20,1,h5py/h5py#633,nilswagner,,closed,,,,,aragilar
numpy/numpy#6395,andsor,,open,,,,,scipy/scipy#5197,andsor,ev-br,closed,1,3,2,1,andsor
numpy/numpy#6461,rgommers,charris,closed,1,2,1,1,scipy/scipy#5331,stonebig,,closed,,,,,rgommers
numpy/numpy#6467,beckermr,charris,closed,3,230,13,217,astropy/astropy#4259,michaelaye,,closed,,,,,mhvk
numpy/numpy#6467,beckermr,charris,closed,3,230,13,217,scipy/scipy#5397,weatherfrog,,closed,,,,,charris
numpy/numpy#6500,ahaldane,charris,closed,2,53,42,11,statsmodels/statsmodels#2668,jlec,,open,,,,,josef-pkt
numpy/numpy#6562,ahaldane,charris,closed,3,230,13,217,astropy/astropy#4259,michaelaye,,closed,,,,,mhvk
numpy/numpy#6590,oeway,charris,closed,3,30,26,4,daducci/AMICO#16,kohske,,closed,,,,,daducci
numpy/numpy#6757,ahaldane,charris,closed,1,49,38,11,scipy/scipy#5800,sciunto,,open,,,,,rgommers
numpy/numpy#6936,ev-br,charris,closed,2,10,10,0,scipy/scipy#5629,endolith,ev-br,closed,1,6,2,4,ev-br
numpy/numpy#7019,shoyer,charris,closed,8,159,24,135,pydata/pandas#12049,jreback,jreback,closed,4,79,55,24,shoyer
numpy/numpy#7019,shoyer,charris,closed,8,159,24,135,pydata/pandas#12058,jreback,jreback,closed,4,79,55,24,jreback
numpy/numpy#7142,mhvk,charris,closed,2,26,22,4,astropy/astropy#4543,astrofrog,mhvk,closed,1,8,8,0,mhvk
numpy/numpy#7156,mhvk,charris,closed,2,26,22,4,astropy/astropy#4543,astrofrog,mhvk,closed,1,8,8,0,eteq
numpy/numpy#7163,jreback,,closed,,,,,pydata/pandas#12196,jreback,jreback,closed,1,12,9,3,jreback
numpy/numpy#7258,charris,charris,closed,11,424,310,114,astropy/astropy#4548,olebole,,closed,,,,,mhvk
numpy/numpy#7285,gfyoung,charris,closed,2,33,24,9,pydata/pandas#12389,jreback,,closed,,,,,jreback
numpy/numpy#7285,gfyoung,charris,closed,2,33,24,9,pydata/pandas#12390,jreback,,closed,,,,,jreback
numpy/numpy#7330,MSeifert04,,open,,,,,astropy/astropy#4658,MSeifert04,mhvk,closed,3,68,64,4,MSeifert04
numpy/numpy#7393,mhvk,njsmith,closed,2,17,17,0,astropy/astropy#4677,mhvk,,closed,,,,,mhvk
pickleshare/pickleshare#8,chrisidefix,minrk,closed,1,4,2,2,ipython/ipython#8776,chrisidefix,,closed,,,,,chrisidefix
pydata/pandas#10344,sinhrks,sinhrks,closed,3,188,187,1,adamhajari/spyre#24,sinhrks,dataspyre,closed,5,22,14,8,sinhrks
pydata/pandas#10826,sinhrks,jreback,closed,3,102,100,2,dask/dask#587,sinhrks,mrocklin,closed,4,440,338,102,sinhrks
pydata/pandas#11245,llllllllll,jreback,closed,7,95,42,53,blaze/odo#331,llllllllll,llllllllll,closed,1,3,3,0,llllllllll
pydata/pandas#11626,JackKelly,jreback,closed,5,72,62,10,nilmtk/nilmtk#450,athenawisdoms,,closed,,,,,ackKelly
pydata/pandas#11786,mrocklin,jdeschenes,closed,3,88,85,3,dask/dask#860,drdangersimon,,closed,,,,,mrocklin
pydata/pandas#11786,mrocklin,jdeschenes,closed,3,88,85,3,dask/dask#888,sscondie,,closed,,,,,mrocklin
pydata/pandas#11790,jdeschenes,jdeschenes,closed,3,88,85,3,dask/dask#841,mrocklin,,closed,,,,,mrocklin
