ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
numpy/numpy#3340,2492,2013-05-19 10:18:17,rgommers,0,pr,,,,,[],2,2,"['rgommers', 'charris']"
scikit-learn/scikit-learn#3602,2481,2015-01-23 21:35:27,amueller,1,issue,amueller,2015-01-23T21:35:27Z,,close,[],2,2,"['gatapia', 'amueller']"
,,,,,,,,,,,,,
numpy/numpy#2995,2365,,,,issue,pv,2013-02-18T17:54:29Z,,close,[],13,3,"['asaluja', 'charris', 'pv']"
numpy/numpy#2956,2351,,,,issue,seberg,2013-04-03T21:41:45Z,,close,[],9,4,"['pv', 'nouiz', 'seberg', 'njsmith']"
numpy/numpy#2956,2349,,,,issue,seberg,2013-04-03T21:41:45Z,,close,[],9,4,"['pv', 'nouiz', 'seberg', 'njsmith']"
ksahlin/BESST#22,2346,2015-10-14 13:01:16,ksahlin,1,issue,ksahlin,2015-10-28T22:18:18Z,,close,[],3,2,"['Tetrajf', 'ksahlin']"
numpy/numpy#2939,2338,,,,issue,pv,2013-01-22T11:50:11Z,,close,[],10,5,"['juliantaylor', 'njsmith', 'charris', 'pv', 'seberg']"
Theano/Theano#1150,2327,,,,pr,,,,,['#1144'],3,2,"['delallea', 'nouiz']"
numpy/numpy#3431,2325,,,,pr,,,,,[],7,3,"['WarrenWeckesser', 'seberg', 'rkern']"
numpy/numpy#2750,2295,,,,issue,certik,2012-12-21T01:03:00Z,,close,"['#2836', '#2849']",7,4,"['cgohlke', 'rgommers', 'y-p', 'certik']"
wslihgt/separateLeadStereo#1,2211,,,,issue,wslihgt,2013-01-17T10:42:05Z,,close,[],8,2,"['devops85', 'wslihgt']"
numpy/numpy#307,2198,,,,pr,,,,,[],12,4,"['pv', 'charris', 'teoliphant', 'njsmith']"
matplotlib/matplotlib#385,2196,,,,pr,,,,,[],9,5,"['pv', 'mdboom', 'jdh2358', 'WeatherGod', 'pelson']"
pymc-devs/pymc3#334,2169,2013-09-12 05:46:55,jsalvatier,6,issue,jsalvatier,2013-12-23T19:25:42Z,,close,[],19,4,"['kforeman', 'jsalvatier', 'twiecki', 'aflaxman']"
pydata/pandas#972,2159,,,,issue,wesm,2012-03-27T13:28:07Z,,close,[],6,4,"['isofer', 'wesm', 'lodagro', 'jseabold']"
PyMVPA/PyMVPA#157,2145,2014-01-20 19:50:58,hanke,2,issue,hanke,2014-02-20T09:08:12Z,fde65a6,close,[],4,2,"['yarikoptic', 'hanke']"
pyhrf/pyhrf#146,2138,2016-01-31 10:58:39,thperret,1,issue,thperret,2016-03-02T16:55:43Z,98ecf5d,close,[],2,1,['thperret']
numpy/numpy#5861,2138,,,,issue,LimEJET,2015-05-11T22:34:58Z,,close,[],8,4,"['LimEJET', 'seberg', 'charris', 'njsmith']"
numpy/numpy#2561,2066,2013-10-09 07:54:18,Nodd,1,issue,charris,2013-10-10T21:14:55Z,293b9e0,close,['#3885'],2,2,"['numpy-gitbot', 'Nodd']"
numpy/numpy#151,2032,,,,pr,,,,,['#2408'],18,2,"['chrisjordansquire', 'charris']"
